INFO 2026-04-13 14:38:51,065 autoreload Watching for file changes with StatReloader
INFO 2026-04-13 14:38:55,539 _client HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
INFO 2026-04-13 14:38:55,541 basehttp "GET /api/system/health/ HTTP/1.1" 200 111
INFO 2026-04-13 14:42:55,821 _client HTTP Request: POST http://127.0.0.1:8000/api/run "HTTP/1.1 200 OK"
ERROR 2026-04-13 14:42:55,822 services 保存执行记录失败: Cannot assign "<apps.indicators.views.TempIndicator object at 0x748509dc3230>": "IndicatorExecution.indicator" must be a "Indicator" instance.
INFO 2026-04-13 14:42:55,823 basehttp "POST /api/indicators/execute/ HTTP/1.1" 200 3921
INFO 2026-04-13 14:42:55,834 basehttp "OPTIONS /api/indicators/test-sql/ HTTP/1.1" 200 0
INFO 2026-04-13 14:42:55,956 _client HTTP Request: POST http://127.0.0.1:8000/api/test_sql "HTTP/1.1 200 OK"
INFO 2026-04-13 14:42:55,957 basehttp "POST /api/indicators/test-sql/ HTTP/1.1" 200 1302
INFO 2026-04-13 14:43:01,502 _client HTTP Request: POST http://127.0.0.1:8000/api/run "HTTP/1.1 200 OK"
ERROR 2026-04-13 14:43:01,502 services 保存执行记录失败: Cannot assign "<apps.indicators.views.TempIndicator object at 0x748509dc2f90>": "IndicatorExecution.indicator" must be a "Indicator" instance.
INFO 2026-04-13 14:43:01,503 basehttp "POST /api/indicators/execute/ HTTP/1.1" 200 3921
INFO 2026-04-13 14:43:01,583 _client HTTP Request: POST http://127.0.0.1:8000/api/test_sql "HTTP/1.1 200 OK"
INFO 2026-04-13 14:43:01,584 basehttp "POST /api/indicators/test-sql/ HTTP/1.1" 200 1302
INFO 2026-04-13 14:43:21,646 _client HTTP Request: POST http://127.0.0.1:8000/api/run "HTTP/1.1 200 OK"
ERROR 2026-04-13 14:43:21,647 services 保存执行记录失败: Cannot assign "<apps.indicators.views.TempIndicator object at 0x748509dc2f90>": "IndicatorExecution.indicator" must be a "Indicator" instance.
INFO 2026-04-13 14:43:21,648 basehttp "POST /api/indicators/execute/ HTTP/1.1" 200 3921
INFO 2026-04-13 14:43:21,732 _client HTTP Request: POST http://127.0.0.1:8000/api/test_sql "HTTP/1.1 200 OK"
INFO 2026-04-13 14:43:21,734 basehttp "POST /api/indicators/test-sql/ HTTP/1.1" 200 1302
INFO 2026-04-13 16:47:10,907 basehttp "OPTIONS /api/dashboard/overview/ HTTP/1.1" 200 0
INFO 2026-04-13 16:47:11,003 basehttp "GET /api/dashboard/overview/ HTTP/1.1" 200 4563
INFO 2026-04-13 16:47:15,883 basehttp "OPTIONS /api/indicators/four/ HTTP/1.1" 200 0
INFO 2026-04-13 16:47:15,883 basehttp "OPTIONS /api/indicators/core18/ HTTP/1.1" 200 0
INFO 2026-04-13 16:47:15,901 basehttp "GET /api/indicators/four/ HTTP/1.1" 200 2
INFO 2026-04-13 16:47:15,902 basehttp "GET /api/indicators/core18/ HTTP/1.1" 200 2
INFO 2026-04-13 17:23:46,525 basehttp "GET /api/dashboard/overview/ HTTP/1.1" 200 4544
INFO 2026-04-14 15:02:09,977 autoreload /home/ubuntu/41811_fullstack/41811/backend_django/apps/indicators/services.py changed, reloading.
Performing system checks...

System check identified no issues (0 silenced).
April 13, 2026 - 14:38:51
Django version 4.2.30, using settings 'config.settings'
Starting development server at http://0.0.0.0:8001/
Quit the server with CONTROL-C.

INFO 2026-04-14 15:02:10,506 autoreload Watching for file changes with StatReloader
INFO 2026-04-14 15:04:00,106 basehttp "OPTIONS /api/indicators/four/ HTTP/1.1" 200 0
INFO 2026-04-14 15:04:00,106 basehttp "OPTIONS /api/indicators/core18/ HTTP/1.1" 200 0
